continent	region	country	population	density	% urban	% growth	birth rate	death rate	fertility	under 5 mortaility
Asia	South-central Asia	Bangladesh	146736.1	1019	26.7	2	28.9	8.3	3.5	87.4
Asia	South-central Asia	Bhutan	2257.4	48	7.9	3	34.5	8.6	5	80
Asia	South-central Asia	India	1065462.3	324.1	28.3	1.5	23.8	8.5	3	84
Asia	South-central Asia	Iran (Islamic Republic of)	68919.6	41.8	66.2	1.2	20.3	5.3	2.3	38.8
Asia	South-central Asia	Kazakhstan	15433	5.7	55.8	-0.4	16.2	9.5	2	58.1
Asia	South-central Asia	Kyrgyzstan	5137.8	25.9	34.3	1.4	21.9	7.1	2.6	46
Asia	South-central Asia	Maldives	318.3	1068	28.9	3	35.8	6.1	5.3	48.6
Asia	South-central Asia	Nepal	25164.2	178.7	12.9	2.2	32.9	9.7	4.3	98.4
Asia	South-central Asia	Pakistan	153577.8	192.9	34.1	2.4	35.9	9.6	5.1	127.8
Asia	South-central Asia	Sri Lanka	19065.4	290.6	23.7	0.8	16.4	6.6	2	23.4
Asia	South-central Asia	Tajikistan	6244.9	43.6	27.6	0.9	24.5	6	3.1	72.6
Asia	South-central Asia	Turkmenistan	4866.8	10	45.3	1.5	22.2	6.5	2.7	67.7
Asia	South-central Asia	Uzbekistan	26092.6	58.3	36.6	1.5	21.7	5.8	2.4	51.8
Asia	South-eastern Asia	Brunei Darussalam	358	62.1	73.8	2.3	23.5	2.8	2.5	7.4
Asia	South-eastern Asia	Cambodia	14143.5	78.1	18.6	2.4	33.9	10	4.8	107.1
Asia	South-eastern Asia	Dem. Republic of Timor-Leste	778.2	52.3	7.6	4	23.8	13.2	3.8	182.6
Asia	South-eastern Asia	Indonesia	219883.5	115.5	44.1	1.3	20.7	7.3	2.4	52.3
Asia	South-eastern Asia	Lao Peoples Dem. Republic	5657.3	23.9	20.6	2.3	35.6	12.6	4.8	140.6
Asia	South-eastern Asia	Malaysia	24424.6	74.1	59.5	1.9	22.6	4.6	2.9	13
Asia	South-eastern Asia	Myanmar	49485.5	73.1	29.1	1.3	23.9	11.2	2.9	127.7
Asia	South-eastern Asia	Philippines	79999	266.7	61	1.8	25.3	5.1	3.2	35
Asia	South-eastern Asia	Singapore	4252.8	6881.6	100	1.7	10.2	5.2	1.4	4
Asia	South-eastern Asia	Thailand	62833.3	122.5	20.4	1	17.3	7.1	1.9	24.9
Asia	South-eastern Asia	Viet Nam	81376.7	245.3	25.4	1.3	20.2	6.4	2.3	44.8
Asia	Western Asia	Armenia	3060.9	102.7	67.4	-0.5	9.7	7.7	1.2	19.8
Asia	Western Asia	Azerbaijan	8370.1	96.7	51.8	0.9	17.8	5.6	2.1	40
Asia	Western Asia	Bahrain	724.3	1068.3	93.1	2.2	19.9	3.1	2.7	18.1
Asia	Western Asia	Cyprus	801.9	86.7	70.8	0.8	13.2	7.5	1.9	8.2
Asia	Western Asia	Georgia	5125.6	73.5	57	-0.9	10.4	9.9	1.4	21.8
Asia	Western Asia	Iraq	25174.6	57.4	67.4	2.7	35.1	8.8	4.8	107.8
Asia	Western Asia	Israel	6433.4	290.5	92.1	2	19.8	6	2.7	9.3
Asia	Western Asia	Jordan	5472.8	61.3	79	2.7	28	4.3	3.6	27.2
Asia	Western Asia	Kuwait	2521.4	141.5	96.3	3.5	20.2	1.9	2.7	13
Asia	Western Asia	Lebanon	3652.5	351.2	90.7	1.6	19.1	5.4	2.2	19.9
