"station_european_code","country_iso_code","country_name","type_of_station","station_type_of_area","station_longitude_deg","station_latitude_deg","station_altitude","sabe_country_code","station_city"
"AD0942A","AD","ANDORRA","Background","urban",1.53,42.50,1080.00,,"ANDORRA LA VELLA"
"AD0944A","AD","ANDORRA","Background","rural",1.56,42.51,1637.00,,
"AT0001A","AT","AUSTRIA","Background","suburban",16.35,48.24,207.00,"AT","WIEN"
"AT0002A","AT","AUSTRIA","Background","urban",14.83,47.21,635.00,"AT","KNITTELFELD"
"AT0002R","AT","AUSTRIA","Background","rural",16.76,47.76,117.00,"AT",
"AT0003A","AT","AUSTRIA","Background","urban",14.67,47.17,715.00,"AT","JUDENBURG"
"AT0003R","AT","AUSTRIA","Background","rural",11.70,47.50,463.00,"AT",
"AT0004A","AT","AUSTRIA","Background","urban",15.29,47.44,517.00,"AT","KAPFENBERG"
"AT0004R","AT","AUSTRIA","Background","rural",13.23,47.65,1005.00,"AT",
"AT0005R","AT","AUSTRIA","Background","rural",12.97,46.67,1020.00,"AT",
"AT0006A","AT","AUSTRIA","Background","urban",15.15,47.04,390.00,"AT","VOITSBERG"
"AT0008A","AT","AUSTRIA","Traffic","suburban",16.29,48.13,215.00,"AT","WIEN"
"AT0009A","AT","AUSTRIA","Background","urban",16.37,48.20,173.00,"AT","WIEN"
"AT0010A","AT","AUSTRIA","Background","suburban",11.44,47.27,570.00,"AT","INNSBRUCK"
"AT0011A","AT","AUSTRIA","Traffic","urban",14.28,48.31,269.00,"AT","LINZ"
"AT0012A","AT","AUSTRIA","Background","urban",14.03,48.16,316.00,"AT","WELS"
"AT0013A","AT","AUSTRIA","Traffic","urban",16.36,48.17,220.00,"AT","WIEN"
"AT0014A","AT","AUSTRIA","Traffic","suburban",14.41,48.22,255.00,"AT","LINZ"
"AT0015A","AT","AUSTRIA","Background","urban",14.29,48.29,290.00,"AT","LINZ"
"AT0016A","AT","AUSTRIA","Background","suburban",14.23,48.22,274.00,"AT","LINZ"
"AT0017A","AT","AUSTRIA","Industrial","suburban",16.47,48.15,155.00,"AT","WIEN"
"AT0018A","AT","AUSTRIA","Traffic","urban",16.34,48.18,175.00,"AT","WIEN"
"AT0019A","AT","AUSTRIA","Traffic","urban",16.31,48.20,230.00,"AT","WIEN"
"AT0020A","AT","AUSTRIA","Background","suburban",16.30,48.23,320.00,"AT","WIEN"
"AT0021A","AT","AUSTRIA","Traffic","urban",16.38,48.21,160.00,"AT","WIEN"
"AT0022A","AT","AUSTRIA","Background","suburban",15.41,47.09,348.00,"AT","GRAZ"
"AT0023A","AT","AUSTRIA","Industrial","rural",15.34,47.11,454.00,"AT",
"AT0024A","AT","AUSTRIA","Traffic","urban",13.10,47.68,440.00,"AT","HALLEIN"
"AT0026A","AT","AUSTRIA","Traffic","rural",13.05,48.24,363.00,"AT","BRAUNAU"
"AT0027A","AT","AUSTRIA","Background","suburban",14.44,48.05,307.00,"AT","STEYR"
"AT0028A","AT","AUSTRIA","Background","suburban",13.66,48.00,420.00,"AT","VÖCKLABRUCK"
"AT0029A","AT","AUSTRIA","Background","urban",14.29,48.30,262.00,"AT","LINZ"
"AT0030A","AT","AUSTRIA","Traffic","urban",14.29,48.32,255.00,"AT","LINZ"
"AT0031A","AT","AUSTRIA","Background","suburban",14.31,48.25,258.00,"AT","LINZ"
"AT0032A","AT","AUSTRIA","Background","urban",14.30,48.29,263.00,"AT","LINZ"
"AT0033A","AT","AUSTRIA","Industrial","rural",11.87,47.43,520.00,"AT",
"AT0034A","AT","AUSTRIA","Industrial","rural",15.35,47.11,375.00,"AT",
"AT0035A","AT","AUSTRIA","Traffic","urban",11.50,47.27,570.00,"AT","HALL IN TIROL"
"AT0036A","AT","AUSTRIA","Traffic","urban",16.30,48.18,195.00,"AT","WIEN"
"AT0037A","AT","AUSTRIA","Background","urban",15.09,47.38,540.00,"AT","LEOBEN"
"AT0038A","AT","AUSTRIA","Traffic","urban",13.05,47.79,425.00,"AT","SALZBURG"
"AT0039A","AT","AUSTRIA","Background","urban",14.31,48.27,265.00,"AT","LINZ"
"AT0040A","AT","AUSTRIA","Industrial","rural",13.60,47.97,510.00,"AT",
"AT0041A","AT","AUSTRIA","Industrial","suburban",14.35,48.29,335.00,"AT","LINZ"
"AT0042A","AT","AUSTRIA","Background","suburban",14.75,47.19,675.00,"AT","ZELTWEG"
"AT0043A","AT","AUSTRIA","Background","rural",15.96,48.32,182.00,"AT",
"AT0044A","AT","AUSTRIA","Background","rural",15.93,48.27,220.00,"AT",
"AT0045A","AT","AUSTRIA","Background","rural",15.74,48.35,190.00,"AT","TRAISMAIER"
"AT0046A","AT","AUSTRIA","Background","rural",15.85,48.33,192.00,"AT",
"AT0047A","AT","AUSTRIA","Background","rural",16.14,48.28,495.00,"AT",
"AT0048A","AT","AUSTRIA","Traffic","urban",16.05,48.33,290.00,"AT","TULLN"
"AT0049A","AT","AUSTRIA","Background","rural",15.90,48.32,200.00,"AT",
"AT0050A","AT","AUSTRIA","Background","suburban",15.16,47.03,380.00,"AT","VOITSBERG"
"AT0052A","AT","AUSTRIA","Background","rural",15.07,47.08,585.00,"AT",
"AT0053A","AT","AUSTRIA","Background","rural",13.11,47.79,1010.00,"AT",
"AT0054A","AT","AUSTRIA","Background","rural",13.95,48.71,920.00,"AT",
"AT0055A","AT","AUSTRIA","Background","urban",15.07,47.06,445.00,"AT","KÖFLACH"
"AT0056A","AT","AUSTRIA","Background","urban",16.46,48.22,155.00,"AT","WIEN"
"AT0057A","AT","AUSTRIA","Industrial","urban",15.63,48.21,270.00,"AT","SANKT POELTEN"
"AT0058A","AT","AUSTRIA","Background","rural",11.86,47.13,1970.00,"AT",
"AT0059A","AT","AUSTRIA","Background","suburban",16.25,47.81,265.00,"AT","WIENER NEUSTADT"
"AT0060A","AT","AUSTRIA","Industrial","rural",13.10,47.66,650.00,"AT","HALLEIN"
"AT0061A","AT","AUSTRIA","Background","urban",15.09,47.35,554.00,"AT","LEOBEN"
"AT0062A","AT","AUSTRIA","Background","rural",15.50,46.88,314.00,"AT",
"AT0063A","AT","AUSTRIA","Background","urban",15.28,47.41,550.00,"AT","BRUCK AN DER MUR"
"AT0064A","AT","AUSTRIA","Background","rural",11.37,47.30,1910.00,"AT",
"AT0065A","AT","AUSTRIA","Background","urban",16.30,48.08,210.00,"AT","MÖDLING"
"AT0066A","AT","AUSTRIA","Industrial","urban",16.47,48.14,155.00,"AT","SCHWECHAT"
"AT0067A","AT","AUSTRIA","Background","suburban",16.21,48.38,186.00,"AT","STOCKERAU"
"AT0068A","AT","AUSTRIA","Background","urban",15.62,48.40,190.00,"AT","KREMS"
"AT0069A","AT","AUSTRIA","Background","rural",13.01,47.97,730.00,"AT",
"AT0070A","AT","AUSTRIA","Industrial","urban",15.07,47.37,555.00,"AT","LEOBEN"
"AT0071A","AT","AUSTRIA","Background","rural",14.60,47.21,795.00,"AT",
"AT0072A","AT","AUSTRIA","Background","urban",16.73,48.33,161.00,"AT","GÄNSERNDORF"
"AT0073A","AT","AUSTRIA","Background","rural",14.57,48.53,918.00,"AT",
"AT0074A","AT","AUSTRIA","Background","suburban",16.52,48.16,150.00,"AT","WIEN"
"AT0075A","AT","AUSTRIA","Background","urban",13.03,47.81,455.00,"AT","SALZBURG"
"AT0076A","AT","AUSTRIA","Traffic","rural",16.96,48.14,165.00,"AT","HAINBURG"
"AT0077A","AT","AUSTRIA","Background","urban",16.33,48.34,170.00,"AT","KORNEUBURG"
"AT0078A","AT","AUSTRIA","Background","urban",16.04,47.71,380.00,"AT","TERNITZ"
"AT0079A","AT","AUSTRIA","Background","rural",12.95,47.05,3106.00,"AT",
"AT0080A","AT","AUSTRIA","Background","rural",14.56,48.22,242.00,"AT",
"AT0081A","AT","AUSTRIA","Traffic","suburban",16.39,48.16,250.00,"AT","WIEN"
"AT0082A","AT","AUSTRIA","Traffic","urban",16.34,48.21,185.00,"AT","WIEN"
"AT0083A","AT","AUSTRIA","Background","urban",16.34,48.22,270.00,"AT","WIEN"
"AT0084A","AT","AUSTRIA","Background","urban",9.81,47.15,580.00,"AT","BLUDENZ"
"AT0085A","AT","AUSTRIA","Background","suburban",15.43,47.04,345.00,"AT","GRAZ"
"AT0086A","AT","AUSTRIA","Background","rural",14.86,48.17,465.00,"AT",
"AT0087A","AT","AUSTRIA","Background","suburban",15.40,47.06,370.00,"AT","GRAZ"
"AT0088A","AT","AUSTRIA","Traffic","urban",16.40,48.18,160.00,"AT","WIEN"
"AT0089A","AT","AUSTRIA","Background","rural",11.22,47.34,1730.00,"AT",
"AT0090A","AT","AUSTRIA","Background","urban",9.65,47.41,410.00,"AT","LUSTENAU"
"AT0091A","AT","AUSTRIA","Traffic","urban",9.59,47.23,460.00,"AT","FELDKIRCH"
"AT0092A","AT","AUSTRIA","Background","rural",16.62,48.10,179.00,"AT",
"AT0093A","AT","AUSTRIA","Traffic","urban",11.41,47.27,570.00,"AT","INNSBRUCK"
"AT0094A","AT","AUSTRIA","Background","rural",15.01,47.05,900.00,"AT",
"AT0095A","AT","AUSTRIA","Background","rural",16.58,48.57,250.00,"AT",
"AT0096A","AT","AUSTRIA","Background","rural",15.91,48.10,581.00,"AT",
"AT0097A","AT","AUSTRIA","Traffic","urban",16.39,48.26,155.00,"AT","WIEN"
"AT0098A","AT","AUSTRIA","Background","suburban",16.29,48.27,520.00,"AT","WIEN"
"AT0099A","AT","AUSTRIA","Traffic","urban",11.39,47.26,580.00,"AT","INNSBRUCK"
"AT0100A","AT","AUSTRIA","Background","urban",15.22,46.81,365.00,"AT","DEUTSCHLANDSBERG"
"AT0101A","AT","AUSTRIA","Background","rural",15.04,48.87,560.00,"AT",
"AT0102A","AT","AUSTRIA","Background","rural",16.52,48.39,190.00,"AT","WOLKERSDORF"
"AT0103A","AT","AUSTRIA","Background","rural",16.67,48.05,210.00,"AT",
"AT0104A","AT","AUSTRIA","Background","rural",9.92,47.52,1020.00,"AT",
"AT0105A","AT","AUSTRIA","Background","rural",15.50,48.72,556.00,"AT",
"AT0106A","AT","AUSTRIA","Industrial","suburban",16.51,48.15,159.00,"AT","SCHWECHAT"
"AT0107A","AT","AUSTRIA","Background","urban",16.30,48.30,200.00,"AT","KLOSTERNEUBURG"
"AT0108A","AT","AUSTRIA","Background","rural",15.88,47.34,1137.00,"AT",
"AT0109A","AT","AUSTRIA","Background","urban",15.43,47.06,355.00,"AT","GRAZ"
"AT0110A","AT","AUSTRIA","Background","rural",15.36,47.40,1620.00,"AT",
"AT0111A","AT","AUSTRIA","Background","rural",15.54,48.37,305.00,"AT",
"AT0112A","AT","AUSTRIA","Background","suburban",15.47,47.06,366.00,"AT","GRAZ"
"AT0113A","AT","AUSTRIA","Background","suburban",15.40,47.03,360.00,"AT","GRAZ"
"AT0114A","AT","AUSTRIA","Background","urban",14.87,48.12,270.00,"AT","AMSTETTEN"
"AT0115A","AT","AUSTRIA","Background","rural",13.79,47.61,980.00,"AT",
"AT0117A","AT","AUSTRIA","Background","rural",16.55,48.19,155.00,"AT","GROSSENZERSDORF"
"AT0118A","AT","AUSTRIA","Background","urban",15.43,47.07,450.00,"AT","GRAZ"
"AT0119A","AT","AUSTRIA","Background","suburban",15.47,47.11,661.00,"AT","GRAZ"
"AT0120A","AT","AUSTRIA","Background","suburban",14.28,46.62,550.00,"AT","KLAGENFURT"
"AT0121A","AT","AUSTRIA","Background","rural",10.68,47.47,880.00,"AT","HÖFEN"
"AT0122A","AT","AUSTRIA","Background","rural",11.91,47.45,600.00,"AT",
"AT0123A","AT","AUSTRIA","Traffic","urban",12.17,47.58,500.00,"AT","KUFSTEIN"
"AT0124A","AT","AUSTRIA","Background","rural",13.90,46.68,1895.00,"AT",
"AT0125A","AT","AUSTRIA","Background","urban",9.74,47.41,440.00,"AT","DORNBIRN"
"AT0126A","AT","AUSTRIA","Traffic","urban",13.84,46.61,490.00,"AT","VILLACH"
"AT0127A","AT","AUSTRIA","Traffic","urban",14.29,46.62,440.00,"AT","KLAGENFURT"
"AT0128A","AT","AUSTRIA","Background","rural",14.89,46.70,540.00,"AT",
"AT0129A","AT","AUSTRIA","Industrial","rural",13.81,46.56,515.00,"AT",
"AT0130A","AT","AUSTRIA","Industrial","urban",14.82,46.76,430.00,"AT","SANKT ANDRÄ IM LAVANTTAL"
"AT0131A","AT","AUSTRIA","Traffic","urban",14.84,46.83,440.00,"AT","WOLFSBERG"
"AT0133A","AT","AUSTRIA","Traffic","urban",14.35,46.76,475.00,"AT","SANKT VEIT AN DER GLAN"
"AT0134A","AT","AUSTRIA","Background","rural",15.32,47.85,891.00,"AT",
"AT0135A","AT","AUSTRIA","Background","suburban",13.63,47.71,460.00,"AT","BAD ISCHL"
"AT0136A","AT","AUSTRIA","Background","suburban",13.20,47.34,620.00,"AT","ST. JOHANN I.P."
"AT0137A","AT","AUSTRIA","Traffic","rural",10.04,47.12,940.00,"AT",
"AT0138A","AT","AUSTRIA","Traffic","rural",13.37,46.62,600.00,"AT","HERMAGOR"
"AT0139A","AT","AUSTRIA","Traffic","rural",14.63,46.66,460.00,"AT","VÖLKERMARKT"
"AT0140A","AT","AUSTRIA","Traffic","suburban",16.33,48.12,194.00,"AT","VÖSENDORF"
"AT0141A","AT","AUSTRIA","Background","rural",13.19,46.93,686.00,"AT",
"AT0142A","AT","AUSTRIA","Background","urban",13.49,46.80,560.00,"AT","SPITTAL AN DER DRAU"
"AT0143A","AT","AUSTRIA","Background","rural",14.79,46.58,480.00,"AT","BLEIBURG"
"AT0144A","AT","AUSTRIA","Background","rural",14.30,46.52,460.00,"AT",
"AT0145A","AT","AUSTRIA","Background","rural",15.16,48.53,710.00,"AT",
"AT0146A","AT","AUSTRIA","Background","rural",14.20,47.12,1302.00,"AT",
"AT0147A","AT","AUSTRIA","Traffic","rural",14.09,46.72,550.00,"AT","FELDKIRCHEN"
"AT0148A","AT","AUSTRIA","Traffic","rural",12.97,46.74,612.00,"AT",
"AT0149A","AT","AUSTRIA","Background","rural",15.94,48.72,315.00,"AT",
"AT0150A","AT","AUSTRIA","Traffic","urban",12.76,46.82,670.00,"AT","LIENZ"
"AT0151A","AT","AUSTRIA","Background","suburban",11.36,47.27,670.00,"AT","INNSBRUCK"
"AT0152A","AT","AUSTRIA","Background","suburban",16.20,47.95,286.00,"AT","BAD VÖSLAU"
"AT0153A","AT","AUSTRIA","Background","rural",15.36,46.65,785.00,"AT",
"AT0154A","AT","AUSTRIA","Background","rural",16.29,47.60,738.00,"AT",
"AT0155A","AT","AUSTRIA","Traffic","rural",15.62,47.22,468.00,"AT","WEIZ"
"AT0156A","AT","AUSTRIA","Background","rural",12.86,48.14,463.00,"AT","HOCHBURG-ACH"
"AT0157A","AT","AUSTRIA","Background","suburban",16.28,48.11,288.00,"AT","BRUNN AM GEBIRGE"
"AT0158A","AT","AUSTRIA","Background","rural",16.43,48.08,172.00,"AT","HIMBERG"
"AT0159A","AT","AUSTRIA","Background","rural",16.36,48.30,160.00,"AT","LANGENZERSDORF"
"AT0161A","AT","AUSTRIA","Background","rural",16.55,48.29,160.00,"AT","DEUTSCH WAGRAM"
"AT0162A","AT","AUSTRIA","Background","rural",14.24,47.56,665.00,"AT","LIEZEN"
"AT0163A","AT","AUSTRIA","Traffic","urban",16.52,47.84,160.00,"AT","EISENSTADT"
"AT0164A","AT","AUSTRIA","Background","rural",16.19,47.30,330.00,"AT",
"AT0165A","AT","AUSTRIA","Background","suburban",13.81,47.12,1040.00,"AT","TAMSWEG"
"AT0166A","AT","AUSTRIA","Background","rural",12.81,47.33,770.00,"AT","ZELL AM SEE"
"AT0167A","AT","AUSTRIA","Background","rural",15.85,47.67,890.00,"AT",
"AT0168A","AT","AUSTRIA","Traffic","urban",13.04,47.80,430.00,"AT","SALZBURG"
"AT0169A","AT","AUSTRIA","Traffic","urban",10.56,47.13,817.00,"AT","LANDECK"
"AT0170A","AT","AUSTRIA","Traffic","urban",14.31,46.62,445.00,"AT","KLAGENFURT"
"AT0171A","AT","AUSTRIA","Background","urban",12.16,47.58,550.00,"AT","KUFSTEIN"
"AT0172A","AT","AUSTRIA","Background","suburban",13.80,47.12,1025.00,"AT","TAMSWEG"
"AT0173A","AT","AUSTRIA","Background","rural",15.48,47.51,660.00,"AT",
"AT0174A","AT","AUSTRIA","Industrial","suburban",13.11,47.67,440.00,"AT","HALLEIN"
"AT0175A","AT","AUSTRIA","Background","rural",15.95,46.75,300.00,"AT",
"AT0176A","AT","AUSTRIA","Background","rural",14.44,47.83,899.00,"AT",
"AT0177A","AT","AUSTRIA","Traffic","rural",11.39,47.24,680.00,"AT",
"AT0178A","AT","AUSTRIA","Background","suburban",12.76,46.82,670.00,"AT","LIENZ"
"AT0179A","AT","AUSTRIA","Background","suburban",15.97,47.27,330.00,"AT","HARTBERG"
"AT0180A","AT","AUSTRIA","Background","rural",13.63,47.35,1850.00,"AT",
"AT0181A","AT","AUSTRIA","Traffic","rural",12.79,47.32,785.00,"AT","ZELL AM SEE"
"AT0182A","AT","AUSTRIA","Traffic","suburban",11.69,47.34,550.00,"AT","SCHWAZ"
"AT0183A","AT","AUSTRIA","Traffic","urban",14.28,48.30,262.00,"AT","LINZ"
"AT0184A","AT","AUSTRIA","Traffic","urban",12.76,46.82,670.00,"AT","LIENZ"
"AT0185A","AT","AUSTRIA","Traffic","urban",9.59,47.23,460.00,"AT","FELDKIRCH"
"AT0186A","AT","AUSTRIA","Background","rural",13.67,48.39,525.00,"AT",
"AT0187A","AT","AUSTRIA","Industrial","rural",17.07,48.10,138.00,"AT","BRATISLAVA"
"AT0188A","AT","AUSTRIA","Background","rural",15.20,48.21,216.00,"AT",
"AT0190A","AT","AUSTRIA","Background","suburban",14.78,47.96,460.00,"AT","WAIDHOFEN AN DER YBBS"
"AT0191A","AT","AUSTRIA","Background","urban",13.04,48.25,350.00,"AT","BRAUNAU"
"AT0192A","AT","AUSTRIA","Background","suburban",15.15,47.04,390.00,"AT","VOITSBERG"
"AT0193A","AT","AUSTRIA","Background","rural",11.09,47.18,1666.00,"AT",
"AT0194A","AT","AUSTRIA","Background","rural",16.34,48.08,185.00,"AT","BIEDERMANNSDORF"
"AT0195A","AT","AUSTRIA","Traffic","suburban",15.25,47.41,485.00,"AT","BRUCK AN DER MUR"
"AT0196A","AT","AUSTRIA","Industrial","rural",15.32,47.14,380.00,"AT",
"AT0197A","AT","AUSTRIA","Industrial","rural",15.34,47.20,410.00,"AT",
"AT0198A","AT","AUSTRIA","Industrial","rural",14.63,47.22,935.00,"AT",
"AT0199A","AT","AUSTRIA","Industrial","rural",13.69,46.55,570.00,"AT","ARNOLDSTEIN"
"AT0200A","AT","AUSTRIA","Industrial","rural",13.66,46.55,670.00,"AT","ARNOLDSTEIN"
"AT0201A","AT","AUSTRIA","Industrial","rural",13.70,46.55,580.00,"AT","ARNOLDSTEIN"
"AT0202A","AT","AUSTRIA","Industrial","rural",14.52,46.84,810.00,"AT",
"AT0203A","AT","AUSTRIA","Background","suburban",14.26,48.29,380.00,"AT","LINZ"
"AT0204A","AT","AUSTRIA","Background","rural",15.49,46.87,449.00,"AT",
"AT0205A","AT","AUSTRIA","Traffic","urban",15.41,47.05,358.00,"AT","GRAZ"
"AT0206A","AT","AUSTRIA","Traffic","suburban",12.06,47.48,510.00,"AT","WÖRGL"
"AT0207A","AT","AUSTRIA","Industrial","rural",13.70,46.55,574.00,"AT","ARNOLDSTEIN"
"AT0208A","AT","AUSTRIA","Background","rural",15.04,46.67,1080.00,"AT",
"AT0209A","AT","AUSTRIA","Industrial","rural",14.52,46.84,810.00,"AT",
"AT0210A","AT","AUSTRIA","Traffic","rural",13.50,47.15,1205.00,"AT",
"AT0211A","AT","AUSTRIA","Traffic","rural",11.69,47.34,545.00,"AT",
"AT0212A","AT","AUSTRIA","Traffic","suburban",10.73,47.21,635.00,"AT","IMST"
"AT0213A","AT","AUSTRIA","Traffic","rural",9.74,47.50,726.00,"AT","BREGENZ"
"AT0214A","AT","AUSTRIA","Traffic","rural",13.60,47.02,1190.00,"AT",
"AT0215A","AT","AUSTRIA","Background","suburban",16.17,48.20,248.00,"AT","PURKERSDORF"
"AT0216A","AT","AUSTRIA","Traffic","suburban",14.45,48.20,282.00,"AT","ENNS"
"AT0217A","AT","AUSTRIA","Background","urban",15.43,47.04,345.00,"AT","GRAZ"
"AT0218A","AT","AUSTRIA","Industrial","suburban",15.14,47.39,510.00,"AT","NIKLASDORF"
"AT0219A","AT","AUSTRIA","Background","urban",14.82,47.21,635.00,"AT","KNITTELFELD"
"BG0014A","BG","BULGARIA","Background","urban",23.76,43.10,368.00,,"Vratza"
"BG0016A","BG","BULGARIA","Background","urban",23.17,42.54,550.00,,"Sofia"
"BG0017A","BG","BULGARIA","Background","urban",25.75,42.10,110.00,,"Dimitrovgrad"
"BG0018A","BG","BULGARIA","Background","urban",25.34,41.69,240.00,,"Kardjaly"
"BG0019A","BG","BULGARIA","Background","urban",24.98,43.26,158.00,,"Pleven"
"BG0020A","BG","BULGARIA","Background","suburban",25.14,43.00,200.00,,"Veliko Tarnovo"
"BG0021A","BG","BULGARIA","Background","suburban",25.14,43.03,100.00,,"Sevlievo"
"BG0022A","BG","BULGARIA","Background","urban",24.85,41.72,850.00,,"Smolian"
"BG0023A","BG","BULGARIA","Background","urban",23.17,42.54,500.00,,"Sofia"
"BG0024A","BG","BULGARIA","Background","suburban",23.17,42.54,500.00,,"Sofia"
"BG0025A","BG","BULGARIA","Background","urban",24.32,42.67,-9999.00,,"Pirdop"
"BG0026A","BG","BULGARIA","Background","urban",25.90,42.08,96.00,,"Galabovo"
"BG0027A","BG","BULGARIA","Background","urban",25.83,41.98,133.00,,"Mednikarovo"
"BG0028A","BG","BULGARIA","Background","urban",25.98,41.95,182.00,,"Polsky Gradetz"
"BG0029A","BG","BULGARIA","Background","urban",25.75,42.10,110.00,,"Dimitrovgrad"
"BG0030A","BG","BULGARIA","Background","urban",24.98,43.26,158.00,,"Pleven"
"BG0031A","BG","BULGARIA","Background","urban",24.52,42.23,166.00,,"Plovdiv"
"BG0032A","BG","BULGARIA","Background","urban",24.50,42.23,220.00,,"Asenovgrad"
"BG0033A","BG","BULGARIA","Background","urban",24.37,42.21,250.00,,"Kuklen"
"BG0034A","BG","BULGARIA","Background","urban",24.65,42.23,257.00,,"Dolny Voden"
"BG0035A","BG","BULGARIA","Background","suburban",27.38,42.46,28.00,,"Burgas"
"BG0036A","BG","BULGARIA","Background","urban",27.44,42.54,20.00,,"Kameno"
"BG0037A","BG","BULGARIA","Background","urban",24.83,43.67,100.00,,"Svishtov"
"BG0038A","BG","BULGARIA","Background","urban",27.05,43.36,212.00,,"Shumen"
"BG0039A","BG","BULGARIA","Background","urban",25.52,42.44,220.00,,"Stara Zagora"
"BG0040A","BG","BULGARIA","Background","suburban",23.17,42.54,500.00,,"Sofia"
"BG0041A","BG","BULGARIA","Background","urban",25.75,42.10,110.00,,"Dimitrovgad"
"BG0042A","BG","BULGARIA","Background","urban",28.00,43.31,20.00,,"Varna"
"BG0043A","BG","BULGARIA","Background","urban",23.76,43.10,368.00,,"Vratza"
"BG0044A","BG","BULGARIA","Background","suburban",27.44,42.54,5.00,,"Burgas"
"BG0045A","BG","BULGARIA","Background","suburban",25.47,43.51,50.00,,"Ruse"
"BG0046A","BG","BULGARIA","Background","suburban",23.19,42.44,745.00,,"Pernik"
"BG0047A","BG","BULGARIA","Background","urban",24.68,42.10,200.00,,"Pazarjik"
"BG0048A","BG","BULGARIA","Background","urban",23.19,42.44,713.00,,"Pernik"
"BG0049A","BG","BULGARIA","Background","suburban",23.04,42.51,695.00,,"Pernik"
"BG0050A","BG","BULGARIA","Background","suburban",23.45,42.62,560.00,,"Sofia"
"BG0051A","BG","BULGARIA","Background","urban",24.52,42.23,166.00,,"Plovdiv"
"BG0052A","BG","BULGARIA","Background","suburban",23.17,42.54,-9999.00,,"Sofia"
"BG0053R","BG","BULGARIA","Background","rural",24.73,41.69,1750.00,,
"BG0054A","BG","BULGARIA","Traffic","urban",23.17,42.54,500.00,,"Sofia"
"BG0055A","BG","BULGARIA","Traffic","urban",25.52,42.44,220.00,,"Stara Zagora"
"BG0056A","BG","BULGARIA","Background","suburban",27.38,42.46,28.00,,"Burgas"
"CH0001A","CH","SWITZERLAND","Background","suburban",8.60,47.42,470.00,"CH","ZÜRICH"
"CH0002A","CH","SWITZERLAND","Traffic","suburban",8.57,47.42,430.00,"CH","ZÜRICH"
"CH0002R","CH","SWITZERLAND","Background","rural",6.94,46.81,490.00,"CH",
"CH0003A","CH","SWITZERLAND","Background","suburban",7.63,47.54,250.00,"CH","BASEL"
"CH0003R","CH","SWITZERLAND","Background","rural",8.90,47.47,540.00,"CH",
"CH0004A","CH","SWITZERLAND","Industrial","suburban",7.70,47.51,272.00,"CH","BASEL"
"CH0004R","CH","SWITZERLAND","Background","rural",6.97,47.04,1140.00,"CH",
"CH0005A","CH","SWITZERLAND","Background","suburban",8.61,47.40,430.00,"CH","ZÜRICH"
"CH0005R","CH","SWITZERLAND","Background","rural",8.46,47.06,1030.00,"CH",
"CH0008A","CH","SWITZERLAND","Background","suburban",7.58,47.54,320.00,"CH","BASEL"
"CH0010A","CH","SWITZERLAND","Background","urban",8.53,47.36,410.00,"CH","ZÜRICH"
"CH0011A","CH","SWITZERLAND","Background","urban",8.95,46.01,280.00,"CH","LUGANO"
"CH0013A","CH","SWITZERLAND","Traffic","urban",8.53,47.38,445.00,"CH","ZÜRICH"
"CH0014A","CH","SWITZERLAND","Background","urban",8.73,47.49,448.00,"CH","WINTERTHUR"
"CH0017A","CH","SWITZERLAND","Background","urban",7.58,47.56,260.00,"CH","BASEL"
"CH0018A","CH","SWITZERLAND","Traffic","urban",9.38,47.41,660.00,"CH","ST. GALLEN"
"CH0019A","CH","SWITZERLAND","Background","rural",9.39,47.40,920.00,"CH",
"CH0020A","CH","SWITZERLAND","Traffic","urban",7.44,46.94,533.00,"CH","BERN"
"CH0021A","CH","SWITZERLAND","Traffic","urban",8.52,47.37,413.00,"CH","ZÜRICH"
"CH0022A","CH","SWITZERLAND","Industrial","suburban",8.30,47.06,484.00,"CH","LUZERN"
"CH0023A","CH","SWITZERLAND","Background","suburban",7.45,46.98,562.00,"CH","BERN"
"CH0024A","CH","SWITZERLAND","Background","rural",7.14,46.13,460.00,"CH",
"CH0025A","CH","SWITZERLAND","Background","suburban",8.37,47.03,490.00,"CH","LUZERN"
"CH0026A","CH","SWITZERLAND","Traffic","urban",8.95,46.01,290.00,"CH","LUGANO"
"CH0027A","CH","SWITZERLAND","Industrial","urban",6.64,46.52,620.00,"CH","LAUSANNE"
"CH0028A","CH","SWITZERLAND","Traffic","urban",6.63,46.52,530.00,"CH","LAUSANNE"
"CH0029A","CH","SWITZERLAND","Traffic","urban",7.59,47.56,255.00,"CH","BASEL"
"CH0030A","CH","SWITZERLAND","Traffic","urban",8.31,47.04,435.00,"CH","LUZERN"
"CH0031A","CH","SWITZERLAND","Traffic","urban",7.44,46.95,530.00,"CH","BERN"
"CH0033A","CH","SWITZERLAND","Background","rural",8.93,46.16,200.00,"CH",
"AT0220A","AT","AUSTRIA","Traffic","urban",15.61,48.20,271.00,"AT","SANKT POELTEN"
"AT0221A","AT","AUSTRIA","Traffic","rural",13.68,48.17,450.00,"AT",
"AT0222A","AT","AUSTRIA","Traffic","suburban",13.10,47.69,440.00,"AT","HALLEIN"
"AT0223A","AT","AUSTRIA","Traffic","rural",10.74,47.44,993.00,"AT","HEITERWANG"
"AT0224A","AT","AUSTRIA","Traffic","suburban",9.64,47.45,405.00,"AT","HÖCHST"
"AT0225A","AT","AUSTRIA","Traffic","suburban",9.64,47.43,410.00,"AT","LUSTENAU"
