Order	Family	Species	M	T	BMR
Rodentia 	Sciuridae	Spermophilus lateralis	237	36.3	143.4
Rodentia 	Sciuridae	Spermophilus mohavensis	240	37	112.8
Rodentia 	Sciuridae	Spermophilus parryi	650	37	520
Rodentia 	Sciuridae	Spermophilus richardsoni	274	35.5	131.5
Rodentia 	Sciuridae	Spermophilus satutatus	252.2		161.4
Rodentia 	Sciuridae	Spermophilus spilosoma	174	36.1	92.2
Rodentia 	Sciuridae	Spermophilus tereticaudus	167	36.3	93.5
Rodentia 	Sciuridae	Spermophilus townsendii	229	35.6	105.3
Rodentia 	Sciuridae	Spermophilus tridecemlineatus	205.4	35.7	140.4
Rodentia 	Sciuridae	Spermophilus undulatus	680	38	667.1
Rodentia 	Sciuridae	Tamias alpinus	39		57.7
Rodentia 	Sciuridae	Tamias amoenus	57.1	37	96.3
Rodentia 	Sciuridae	Tamias merriami	75	37	78.8
Rodentia 	Sciuridae	Tamias minimus	45.8	37	72.7
Rodentia 	Sciuridae	Tamias palmeri	69.4		113.1
Rodentia 	Sciuridae	Tamias striatus	87.4	38.2	90
Rodentia 	Sciuridae	Tamiasciurus hudsonicus	228.3	38.7	254.6
Rodentia 	Sciuridae	Tamiasciurus hudsonicus preblei	202		323.2
Rodentia 	Sciuridae	Xerus inauris	542	36.8	326.3
Rodentia 	Sciuridae	Xerus princeps	602	37.6	340.1
Scandentia 			123	36.8	96.95
Scandentia 	Tupaiidae	Pltilocerus lowii	58	36.5	43.5
Scandentia 	Tupaiidae	Tupaia glis	123	37	93.5
Scandentia 	Tupaiidae	Urogale everetti	260.6		224.1
Tublidentata					
Tublidentata	Orycteropodidae	Orycteropus afer	48000	34.5	6144
Xenarthra 			3679	33.6	670.39
Xenarthra 	Bradypodidae	Bradypus variegatus	3790	33	686
Xenarthra 	Dasypodidae	Cabassous centralis	4330	33.6	917
Xenarthra 	Dasypodidae	Chaetophractus nationi	2150	35.5	559
Xenarthra 	Dasypodidae	Chaetophractus vellerosus	1110	34.4	306
Xenarthra 	Dasypodidae	Chaetophractus villosus	4540	35.1	808
Xenarthra 	Dasypodidae	Dasypus novemcinctus	3510	34.5	865
Xenarthra 	Dasypodidae	Euphractus sexcinctus	8190	34.2	1237
Xenarthra 	Dasypodidae	Priodontes maximus	45190	33.6	3028
Xenarthra 	Dasypodidae	Tolypeutes matacus	1160	33	210
Xenarthra 	Dasypodidae	Zaedyus pichi	1740	35.2	393
Xenarthra 	Megalonychidae	Choloepus hoffmanni	3770	34.4	603
Xenarthra 	Myrmecophagidae	Cyclopes didactylus	240	33	114
Xenarthra 	Myrmecophagidae	Myrmecophaga tridactyla	30600	32.5	2607
Xenarthra 	Myrmecophagidae	Tamandua mexicana	3977	32	992
Xenarthra 	Myrmecophagidae	Tamandua tetradactyla	3500	33.5	899
Dasyuromorpha 			177.9	34	91.51
Dasyuromorpha 	Dasyuridae	Antechinomys laniger	25.8	35.8	25.3
Dasyuromorpha 	Dasyuridae	Antechinomys laniger ‘spenceri’	24.2		23.7
Dasyuromorpha 	Dasyuridae	Antechinus flavipes	46.5	35	45.1
Dasyuromorpha 	Dasyuridae	Antechinus stuartii	28.2	35.1	33.8
Dasyuromorpha 	Dasyuridae	Antechinus swainsoni	66.9	36	63
Dasyuromorpha 	Dasyuridae	Dasycercus cristicaudata	101	36.9	51
Dasyuromorpha 	Dasyuridae	Dasyuroides byrnei	91.7	35.2	71.7
Dasyuromorpha 	Dasyuridae	Dasyurus geoffroyi	1354	36.2	568.7
Dasyuromorpha 	Dasyuridae	Dasyurus hallucatus	558	35.9	243
Dasyuromorpha 	Dasyuridae	Dasyurus maculatus	1782	36.9	588.1
Dasyuromorpha 	Dasyuridae	Dasyurus viverrinus	982	35.9	396.2
Dasyuromorpha 	Dasyuridae	Ningaui yvonnae	11.6	34.4	15.7
Dasyuromorpha 	Dasyuridae	Phascogale tapoatafa	157	37.4	127.2
Dasyuromorpha 	Dasyuridae	Planigale gilesi	9.1	35.1	7
Dasyuromorpha 	Dasyuridae	Planigale ingrami	7.1		11.3
Dasyuromorpha 	Dasyuridae	Planigale maculata	10.8	34.5	12
Dasyuromorpha 	Dasyuridae	Planigale tenuirostris	7.1	34.5	11.3
Dasyuromorpha 	Dasyuridae	Pseudantechinus macdonnellensis	43.1	34.2	27.2
Dasyuromorpha 	Dasyuridae	Sarcophilus harrisii	5775	35.8	1325.4
Dasyuromorpha 	Dasyuridae	Sminthopsis crassicaudata	16.4	35.2	25.1
Dasyuromorpha 	Dasyuridae	Sminthopsis macroura	19.35	33.3	22.5
Dasyuromorpha 	Dasyuridae	Sminthopsis murina	19	35	21.5
Dasyuromorpha 	Myrmecobiidae	Myrmecobius fasciatus	400	32.5	142.4
Didelphimorphia 			300.1	34.9	191.37
Didelphimorphia 	Caluromyidae	Caluromys derbianus	329	35	225
Didelphimorphia 	Didelphidae	Chironectes minimus	935	35	457
Didelphimorphia 	Didelphidae	Didelphis marsupialis	1165	35	571
Didelphimorphia 	Didelphidae	Didelphis virginiana	2488	35	832
Didelphimorphia 	Didelphidae	Lutreolina crassicaudata	812	35.8	406
Didelphimorphia 	Didelphidae	Philander opossum	751	35.8	338
Didelphimorphia 	Marmosidae	Gracilinanus microtarsus	13	35	19
Didelphimorphia 	Marmosidae	Marmosa robinsoni	122	34	98
Didelphimorphia 	Marmosidae	Metachirus nudicaudatus	336	35	205
Didelphimorphia 	Marmosidae	Monodelphis brevicaudata	75.5	33.7	57
Didelphimorphia 	Marmosidae	Monodelphis domestica	104	32.6	60
Diprotodontia 			544.1	35.8	265.06
Diprotodontia 	Acrobatidae	Acrobates pygmaeus	14	34.7	15.1
Diprotodontia 	Burramyidae	Burramys parvus	44.3	36.1	36.8
Diprotodontia 	Burramyidae	Cercartetus conncinnus	18.6	34.4	22.3
Diprotodontia 	Burramyidae	Cercartetus lepidus	12.6	33.7	18.8
Diprotodontia 	Burramyidae	Cercartetus nanus	70	35.6	60.2
Diprotodontia 	Macropodidae	Dendrolagus matschiei	6960	36.3	1426.8
Diprotodontia 	Macropodidae	Lagorchestes conspicillatus	2660	36	851.2
Diprotodontia 	Macropodidae	Macropus eugenii	4878	36.5	1390.2
Diprotodontia 	Macropodidae	Macropus robustus	29300	36.1	5684.2
Diprotodontia 	Macropodidae	Macropus rufus	32490	35.9	5848.2
Diprotodontia 	Macropodidae	Setonyx brachyurus	2674	36.3	834.3
Diprotodontia 	Petauridae	Petaurus breviceps	127	35.9	89.9
Diprotodontia 	Petauridae	Gymnobelideus leadbeateri	166		102.9
Diprotodontia 	Phalangeridae	Spilocuscus maculatus	4250	34.7	1143.3
Diprotodontia 	Phalangeridae	Trichosurus vulpecula	2005	36	731.6
Diprotodontia 	Phascolarctidae	Phascolarctos cinereus	4765	35.8	1034
Diprotodontia 	Potoroidae	Bettongia gaimardi	1385	35.6	641.3
Diprotodontia 	Potoroidae	Bettongia penicillata	1018	37.2	561.4
Diprotodontia 	Potoroidae	Potorous tridactylus	976	35.9	416.4
Diprotodontia 	Potoroidae	Aepyprimnus rufescens	2820	36.5	1071.6
Diprotodontia 	Pseudocheiridae	Petauroides volans	1141	35.4	573.9
Diprotodontia 	Pseudocheiridae	Pseudocheirus occidentalis	861	36.5	409
Diprotodontia 	Pseudocheiridae	Pseudocheirus peregrinus	916	37.4	430.5
Diprotodontia 	Tarsipedidae	Tarsipes rostratus	10	36.6	29
Diprotodontia 	Vombatidae	Lasiorhinus latifrons	29917	35.3	2991.7
Notoryctemorphia					
Notoryctemorphia	Notoryctidae	Notoryctes caurinus	34	30.8	21.4
Peramelemorphia 			860.3	35	366.82
Peramelemorphia 	Peroryctidae	Echymipera kalabu	695	35	341
Peramelemorphia 	Peroryctidae	Echymipera rufescens australis	616	34.6	302
Peramelemorphia 	Peroryctidae	Echymipera rufescens rufescens	1276	35.2	541
Peramelemorphia 	Peramelidae	Isoodon auratus	428	33.8	150
Peramelemorphia 	Peramelidae	Isoodon macrourus	1551	35.9	574
Peramelemorphia 	Peramelidae	Isoodon obesulus	717	33.9	222
Peramelemorphia 	Peramelidae	Macrotis lagotis	1294	35	450
Peramelemorphia 	Peramelidae	Perameles gunni	837	35.2	420
Peramelemorphia 	Peramelidae	Perameles nasuta	645	36.1	316
Monotremata 			1982.6	32.3	386.1
Monotremata 	Ornithorhynchidae	Ornithorhynchus anatinus	693	34	194
Monotremata 	Tachyglossidae	Zaglossus bruijni	10300	30.8	1215
Monotremata 	Tachyglossidae	Tachyglossus aculeatus	2725	30.7	431
Monotremata 	Tachyglossidae	Tachyglossus setosus	3580	30	548
