COUNTRY_NAME,IND1_DESC,1999,2000,2001,2002,2003
Argentina,Aid per capita (current US$),2.82,2.13,4.19,0,NA
Argentina,CO2 emissions (metric tons per capita),3.99,3.85,NA,NA,NA
Argentina,Electric power consumption (kwh per capita),1994.96,2105.08,2106.87,NA,NA
Argentina,Energy use (kg of oil equivalent per capita),1738.74,1714.62,1592.73,NA,NA
Argentina,"Fertility rate, total (births per woman)",NA,2.51,NA,2.44,NA
Argentina,GDP (current US$),2.84E+11,2.84E+11,2.69E+11,1.02E+11,1.30E+11
Argentina,GDP growth (annual %),-3.39,-0.79,-4.41,-10.89,8.72
Argentina,"Life expectancy at birth, total (years)",NA,73.85,NA,74.31,NA
Argentina,"Literacy rate, adult female (% of females ages 15 and above)",96.71,96.82,96.91,97,NA
Argentina,"Literacy rate, adult total (% of people ages 15 and above)",96.73,96.83,96.91,96.99,NA
Argentina,"Mortality rate, infant (per 1,000 live births)",NA,18,NA,16,NA
Argentina,"Mortality rate, under-5 (per 1,000)",NA,20,NA,19,NA
Argentina,Population growth (annual %),0.89,0.87,0.87,0.87,NA
Argentina,"Population, total",3.55E+07,3.59E+07,3.62E+07,3.65E+07,3.84E+07
Argentina,"Primary completion rate, female (% of relevant age group)",NA,102.22,101.78,NA,NA
Argentina,"Primary completion rate, total (% of relevant age group)",NA,100.3,100.03,NA,NA
Argentina,"School enrollment, primary (% net)",99.92,99.69,99.81,NA,NA
Argentina,"School enrollment, secondary (% net)",76.01,79.06,80.75,NA,NA
Armenia,Aid per capita (current US$),66.59,69.37,64.27,95.65,NA
Armenia,CO2 emissions (metric tons per capita),0.96,1.13,NA,NA,NA
Armenia,Electric power consumption (kwh per capita),1157.44,1153.92,1127.31,NA,NA
Armenia,Energy use (kg of oil equivalent per capita),586.83,731.36,744.09,NA,NA
Armenia,"Fertility rate, total (births per woman)",1.19,1.18,NA,1.15,NA
Armenia,GDP (current US$),1.85E+09,1.91E+09,2.12E+09,2.37E+09,2.80E+09
Armenia,GDP growth (annual %),3.3,6,9.56,12.86,13.9
Armenia,"Life expectancy at birth, total (years)",73.04,73.63,NA,74.81,NA
Armenia,"Literacy rate, adult female (% of females ages 15 and above)",97.53,97.64,99.16,NA,NA
Armenia,"Literacy rate, adult total (% of people ages 15 and above)",98.35,98.42,99.4,NA,NA
Armenia,"Mortality rate, infant (per 1,000 live births)",NA,32,NA,30,NA
Armenia,"Mortality rate, under-5 (per 1,000)",NA,37,NA,35,NA
Armenia,Population growth (annual %),-1.17,-1.02,-0.81,-0.62,-0.39
