79.5	27.4	120
22.3	6.1	16
7.6	6.4	13
10.2	6.4	14
25.8	5.5	20
27.1	5.2	23
50.7	11.6	64
20.3	9.1	31
20.3	6.1	24
22.9	8.5	34
20.3	13.4	29
17.8	13.4	28
17.8	13.4	28
20.3	13.4	32
61.0	19.5	94
20.3	12.2	40
22.9	9.4	37
7.6	4.6	20
63.5	19.8	125
66.0	15.8	130
17.8	9.1	35
25.4	14.0	50
43.0	9.8	65
68.6	21.9	108
20.3	15.8	31
27.4	17.1	40
35.6	15.8	56
17.8	6.1	32
12.7	7.3	15
20.3	8.5	23
22.9	10.4	28
24.9	4.9	10
24.9	4.9	10
24.9	4.9	10
15.2	11.3	24
25.4	7.3	29
22.9	7.3	28
25.4	7.3	29
27.9	8.5	34
35.6	8.5	41
20.3	7.3	23
7.6	7.3	13
7.6	6.7	13
10.2	5.5	14
25.4	7.3	40
20.3	7.3	32
101.6	27.4	320
68.6	16.5	216
48.3	15.2	148
55.3	12.2	152
45.7	12.2	120
28.6	9.8	29
15.2	12.2	30
25.4	13.7	38
43.3	12.2	53
50.8	19.5	100
99.1	19.5	234
16.3	5.5	38
17.8	6.1	28
15.2	5.8	18
10.2	3.4	20
25.4	12.2	38
25.4	8.5	38
20.3	11.6	32
20.3	7.6	32
5.1	3.4	8
5.1	4.0	8
20.3	6.7	30
5.1	4.6	6
38.0	12.2	38
58.4	17.1	92
10.2	4.6	14
10.2	3.0	16
12.7	5.2	18
12.7	9.1	18
12.7	5.2	20
40.6	12.2	64
7.6	3.7	10
10.2	9.8	14
5.1	3.7	7
5.1	4.9	8
20.3	9.8	30
17.8	12.2	30
10.2	6.1	16
15.2	9.8	25
12.7	4.9	20
15.2	6.1	23
10.2	3.7	16
10.2	6.1	17
10.2	6.1	20
15.2	7.3	23
12.7	4.6	20
17.8	4.9	20
15.2	6.7	24
10.2	4.9	16
12.7	3.7	18
7.6	4.0	11
15.2	6.1	22
5.1	3.7	7
15.2	9.8	23
5.1	3.7	8
2.5	3.7	6
5.1	3.7	8
5.1	3.7	8
10.2	4.9	15
12.7	6.1	18
10.2	4.9	15
20.3	4.9	32
12.7	4.0	20
22.9	7.6	35
10.2	4.6	14
7.6	4.6	12
10.2	6.1	17
5.1	4.0	9
10.2	4.9	16
69.3	15.8	108
27.4	12.2	38
63.5	15.2	100
7.6	4.0	9
7.6	4.9	12
7.6	4.6	10
23.3	6.1	9
32.3	7.3	27
35.6	9.8	57
15.2	7.0	24
10.2	4.6	14
7.6	3.0	10
5.1	2.7	8
7.6	4.9	9
7.6	3.7	9
15.2	7.3	24
15.2	6.1	24
20.3	9.1	32
20.3	9.1	32
20.3	9.1	30
10.2	3.7	14
7.6	5.8	12
7.6	5.5	10
17.8	6.4	27
36.7	9.8	36
43.2	21.9	51
73.7	20.7	85
38.1	12.2	45
81.3	22.9	95
15.2	7.3	18
17.8	8.5	21
17.8	7.9	21
10.2	3.7	12
10.2	3.7	11
7.6	3.7	8
15.2	5.8	17
15.2	4.9	18
20.3	7.0	24
17.8	4.9	21
5.1	4.0	6
17.8	7.3	21
17.8	6.1	21
71.1	22.9	112
71.1	21.3	112
68.6	21.3	94
22.9	11.6	35
86.4	26.8	134
73.7	26.8	116
73.7	26.8	130
88.9	27.4	138
68.6	24.4	106
53.3	19.5	82
78.7	18.3	122
83.8	24.4	132
83.8	21.3	132
66.0	21.9	104
66.0	21.9	102
73.7	21.9	116
58.4	21.9	92
61.0	21.9	96
73.7	21.9	112
76.2	21.9	120
81.3	21.9	128
78.7	21.9	124
73.7	21.9	112
76.2	21.9	120
94.0	21.9	148
86.4	19.5	136
83.8	19.5	132
71.1	19.5	110
66.0	17.1	102
68.6	21.3	109
88.9	29.3	140
66.0	29.3	108
66.0	29.3	104
71.1	29.3	110
71.1	29.3	110
66.0	19.5	104
86.4	19.5	134
101.6	19.5	160
73.7	19.5	45
68.6	24.4	108
58.4	24.4	92
66.0	24.4	104
76.2	29.3	120
63.5	29.3	100
86.4	29.3	124
96.5	29.3	152
147.3	29.3	200
71.1	29.3	112
76.2	29.3	118
76.2	27.4	120
66.0	25.9	102
71.1	25.9	132
81.3	27.4	128
63.5	25.0	100
45.4	13.4	62
41.0	13.4	56
73.7	17.1	116
43.2	14.6	66
53.3	12.2	84
50.8	12.2	80
38.1	12.2	58
55.9	21.9	86
61.0	21.9	96
33.0	12.2	52
15.2	11.0	58
10.2	6.7	15
45.7	12.2	72
7.6	4.9	10
7.6	4.9	12
10.2	4.9	14
10.2	4.9	14
10.2	4.9	16
10.2	4.9	14
38.1	9.1	61
36.0	12.2	42
99.2	17.1	152
2.5	1.2	4
2.5	1.2	4
2.5	1.2	4
2.5	1.2	4
2.5	1.2	4
2.5	1.2	4
2.5	1.2	4
50.8	18.3	50
55.9	14.6	99
32.0	12.8	40
17.8	12.2	29
22.9	8.5	38
68.6	22.9	121
61.0	15.8	108
61.0	21.9	108
40.6	13.7	70
37.6	15.2	47
63.5	17.1	114
76.1	21.9	126
53.3	14.6	93
50.8	16.5	89
78.7	21.9	138
50.8	18.3	90
55.9	29.3	99
78.7	19.5	141
71.1	19.5	110
50.8	19.5	90
25.4	11.0	45
20.3	10.7	36
30.5	10.7	52
43.2	12.8	76
33.0	14.0	57
40.6	9.8	75
53.3	15.8	92
63.5	21.9	110
23.6	9.8	22
12.7	6.1	22
12.7	5.8	20
22.9	7.0	36
22.9	8.8	34
20.3	7.6	30
12.7	4.9	20
7.6	4.9	13
44.4	13.4	50
18.0	7.3	21
41.0	14.6	42
33.0	13.7	39
106.7	29.3	125
5.1	3.0	6
33.0	11.0	38
17.8	7.3	29
17.8	7.3	29
10.2	5.5	16
5.1	3.7	8
15.2	4.6	10
5.1	4.6	8
2.5	1.2	4
17.8	12.2	28
5.1	5.5	8
71.1	21.3	112
53.3	18.3	82
104.1	26.5	120
114.3	29.3	135
22.9	15.2	27
43.2	17.1	50
61.0	21.9	70
40.6	20.4	62
60.3	25.9	66
38.9	17.1	38
81.3	19.5	95
63.5	21.9	74
86.2	21.9	99
2.5	1.5	8
63.5	23.8	138
78.7	29.3	168
50.8	19.5	82
30.5	14.6	46
30.5	17.1	48
45.7	15.8	30
35.6	14.0	56
35.6	16.8	40
86.4	15.8	102
43.2	15.2	49
30.6	9.1	36
106.7	34.1	126
30.5	14.6	46
137.2	35.1	214
25.5	10.1	29
55.9	19.5	88
